date,facility_id,facility_name,region,facility_type,scope1_tonnes,scope2_location_tonnes,scope2_market_tonnes,scope3_tonnes,total_emissions,electricity_mwh,renewable_pct,year,month,year_month,revenue_millions,headcount,square_feet,server_count,intensity_per_revenue,intensity_per_employee
2020-01-01,DC-CA-001,California Data Center,US-West,Data Center,154.83416673460943,6654.2561590415935,3327.1280795207967,2612.6033151612232,6094.56556141663,19012.160454404555,50.0,2020,01,2020-01,52.46078650233282,197,503993,9514,116.17,30.94
2020-01-01,DC-IE-001,Dublin Data Center,EU,Data Center,158.70040365767645,6149.060923893196,3074.530461946598,2678.0268212875467,5911.25768689182,20844.27431828202,50.0,2020,01,2020-01,49.705317662087,201,502449,9573,118.93,29.41
2020-01-01,DC-JP-001,Tokyo Data Center,APAC,Data Center,159.56627857817105,8080.585680601051,4040.2928403005253,2607.82157573042,6807.6806946091165,19805.357060296694,50.0,2020,01,2020-01,48.86890228761203,199,502207,10057,139.3,34.21
2020-01-01,DC-NL-001,Amsterdam Data Center,EU,Data Center,155.95235766476637,6139.899644689976,3069.949822344988,2614.9060033504634,5840.808183360217,20813.219134542294,50.0,2020,01,2020-01,52.05127361601804,196,496307,10101,112.21,29.8
2020-01-01,DC-OR-001,Oregon Data Center,US-West,Data Center,155.70983209439214,6903.3152140731145,3451.6576070365572,2410.9086777554235,6018.276116886373,19723.757754494614,50.0,2020,01,2020-01,50.82650846389885,203,499388,9515,118.41,29.65
2020-01-01,DC-SG-001,Singapore Data Center,APAC,Data Center,175.14979212278882,8485.028695445657,4242.5143477228285,2429.758719896976,6847.422859742594,20796.638959425632,50.0,2020,01,2020-01,50.95492721529018,203,501239,9831,134.38,33.73
2020-01-01,DC-TX-001,Texas Data Center,US-Central,Data Center,173.88095645393093,7413.178994207634,3706.589497103817,2501.1216851032,6381.592138660948,19008.15126719906,50.0,2020,01,2020-01,49.43716680314992,202,504841,10440,129.08,31.59
2020-01-01,DC-VA-001,Virginia Data Center,US-East,Data Center,167.38073986934228,7729.340653804202,3864.670326902101,2297.6601793494983,6329.711246120942,20024.198584984977,50.0,2020,01,2020-01,49.02090347719825,200,496678,10022,129.12,31.65
2020-01-01,DC-VA-002,Virginia Data Center 2,US-East,Data Center,165.29502682845822,7722.3684614364765,3861.1842307182383,2576.6193768259104,6603.098634372607,20006.135910457193,50.0,2020,01,2020-01,52.25928906190227,197,504383,9731,126.35,33.52
2020-01-01,MFG-CN-001,Shenzhen Manufacturing,APAC,Manufacturing,535.6928308639935,1173.9664024386939,586.9832012193469,5274.79949911311,6397.475531196451,2877.3686334281715,50.0,2020,01,2020-01,83.34839675023105,499,301102,48,76.76,12.82
2020-01-01,MFG-MX-001,Tijuana Manufacturing,US-Central,Manufacturing,511.8529429597525,1223.3469902015722,611.6734951007861,5427.034766637128,6550.561204697667,3136.7871543630054,50.0,2020,01,2020-01,81.43359567968326,490,297673,49,80.44,13.37
2020-01-01,MFG-PL-001,Poland Manufacturing,EU,Manufacturing,514.867447185673,848.8825775989337,424.44128879946686,5199.58699659661,6138.89573258175,2877.5680596574025,50.0,2020,01,2020-01,79.54707263419913,498,301893,51,77.17,12.33
2020-01-01,MFG-VN-001,Vietnam Manufacturing,APAC,Manufacturing,600.8640864662307,1267.678558041019,633.8392790205095,5391.981346451972,6626.684711938712,3107.055289316223,50.0,2020,01,2020-01,82.33006451719959,496,302547,49,80.49,13.36
2020-01-01,OFF-CA-001,San Francisco Office,US-West,Office,20.973339531452133,283.708979340437,141.8544896702185,785.8714907245986,948.6993199262693,810.59708382982,50.0,2020,01,2020-01,9.894576494767849,990,200295,96,95.88,0.96
